-2.209843274522141354e-02,-1.354607092942644586e-01,-1.004748167982483509e-01,-1.457434085876358094e-02,3.662567125350648517e-02
-2.170714682400209233e-02,-1.643959345673814409e-01,-1.069109842913095326e-01,-2.777376455150497650e-02,-4.513018441353696536e-02
,-1.075898729656619562e-01,-4.475724837296014141e-02,-4.004033365802915634e-02,-8.030527070179321880e-02
1.492893054562535564e-02,-1.644898335933845518e-02,-1.462609976638988563e-03,-4.527965311328009668e-02,6.123406336896175528e-04
-9.881530381297201626e-04,5.172470625498794446e-03,-5.241654012128332124e-02,-5.454172212031392630e-02,9.094762599632437439e-02
-3.578605880248531684e-02,-6.089966041761560311e-02,,-6.645802801830590079e-02,5.062590478476337863e-02
-5.585880130797852422e-02,-1.337129867603847888e-01,-1.716630505658992834e-01,-7.493026535917499120e-02,-1.099116692883172486e-01
-4.692953592033544813e-02,-1.481527757204950113e-01,-1.374872527283068357e-01,-8.552593262412805375e-02,-2.625112323703406303e-01
-2.929226969140628911e-02,-1.132860079966439698e-01,-1.244625257200452778e-01,-1.000304026698387860e-01,-3.081385375445385155e-01
-2.495511580885624234e-02,-7.168856405977987178e-02,-1.503232142965087170e-01,-1.067509151353638192e-01,-2.290525993453733922e-01
-3.063620334494146849e-02,-5.503073208348481515e-02,-1.628836262526797418e-01,-9.880565518636924560e-02,-8.277646421216205974e-02
-3.515929724835159531e-02,-7.190053329104607871e-02,-1.481707045122996891e-01,-8.942786148198465790e-02,1.292391557911540256e-03
-3.906080173748423257e-02,,-1.449714346205933091e-01,-9.669971249720102358e-02,-7.817880381962262482e-02
-4.729126587169114188e-02,-1.474635702541492455e-01,-1.750377300699198779e-01,-1.195298019872898243e-01,-2.680252275514705129e-01
-5.791056425954267672e-02,-1.832257328102535887e-01,-2.191893463964783295e-01,-1.416060777977330987e-01,-4.126891398675237022e-01
-6.219284144117481067e-02,-2.014518179075534821e-01,-2.480454232305661366e-01,-1.505363007527124597e-01,-4.257057903189560566e-01
